PeakID (cmd=annotatePeaks.pl consensus_peaks.mLb.clN.bed Bomo_genome_assembly_chr.fa -gid -gtf Bomo_gene_models_chr.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_21236	chr21	13858344	13858963	+	0		promoter-TSS (KWMTBOMO12752)	-promoter-TSS (KWMTBOMO12752)	-91	KWMTBOMO12752	KWMTBOMO12752	KWMTBOMO12752.mrna1						
Interval_18218	chr2	6531286	6532049	+	0		Intergenic	Intergenic	-1880	KWMTBOMO00930	KWMTBOMO00930	KWMTBOMO00930.mrna1						
Interval_1530	chr10	10705622	10706868	+	0		promoter-TSS (KWMTBOMO05813)	-promoter-TSS (KWMTBOMO05813)	-145	KWMTBOMO05813	KWMTBOMO05813	KWMTBOMO05813.mrna1						
Interval_10440	chr15	12031138	12032145	+	0		Intergenic	Intergenic	-20517	KWMTBOMO09143	KWMTBOMO09143	KWMTBOMO09143.mrna1						
Interval_16057	chr19	1502228	1502858	+	0		promoter-TSS (KWMTBOMO11230)	-promoter-TSS (KWMTBOMO11230)	41	KWMTBOMO11230	KWMTBOMO11230	KWMTBOMO11230.mrna1						
Interval_583	chr10	2489230	2490046	+	0		intron (KWMTBOMO05449, intron 1 of 5)	-intron (KWMTBOMO05449, intron 1 of 5)	4153	KWMTBOMO05449	KWMTBOMO05449	KWMTBOMO05449.mrna1						
Interval_40286	chr8	1042370	1043320	+	0		Intergenic	Intergenic	-8670	KWMTBOMO04250	KWMTBOMO04250	KWMTBOMO04250.mrna1						
Interval_14647	chr18	4524234	4524997	+	0		promoter-TSS (KWMTBOMO10835)	-promoter-TSS (KWMTBOMO10835)	16	KWMTBOMO10835	KWMTBOMO10835	KWMTBOMO10835.mrna1						
Interval_9081	chr15	248960	249648	+	0		intron (KWMTBOMO08576, intron 3 of 5)	-intron (KWMTBOMO08576, intron 3 of 5)	-12644	KWMTBOMO08577	KWMTBOMO08577	KWMTBOMO08577.mrna1						
Interval_6062	chr13	3037789	3038602	+	0		Intergenic	Intergenic	-32200	KWMTBOMO07645	KWMTBOMO07645	KWMTBOMO07645.mrna1						
Interval_33283	chr4	2130543	2131717	+	0		promoter-TSS (KWMTBOMO01706)	-promoter-TSS (KWMTBOMO01706)	-605	KWMTBOMO01706	KWMTBOMO01706	KWMTBOMO01706.mrna1						
Interval_23655	chr23	5366497	5367270	+	0		promoter-TSS (KWMTBOMO13668)	-promoter-TSS (KWMTBOMO13668)	-83	KWMTBOMO13668	KWMTBOMO13668	KWMTBOMO13668.mrna1						
Interval_17570	chr2	551900	552857	+	0		promoter-TSS (KWMTBOMO00688)	-promoter-TSS (KWMTBOMO00688)	-163	KWMTBOMO00688	KWMTBOMO00688	KWMTBOMO00688.mrna1						
Interval_28423	chr26	6275122	6275880	+	0		intron (KWMTBOMO15679, intron 1 of 2)	-intron (KWMTBOMO15679, intron 1 of 2)	6837	KWMTBOMO15680	KWMTBOMO15680	KWMTBOMO15680.mrna1						
Interval_15021	chr18	7855295	7856331	+	0		intron (KWMTBOMO10946, intron 2 of 9)	-intron (KWMTBOMO10946, intron 2 of 9)	2299	KWMTBOMO10946	KWMTBOMO10946	KWMTBOMO10946.mrna1						
Interval_24230	chr23	11344133	11345136	+	0		Intergenic	Intergenic	23014	KWMTBOMO13857	KWMTBOMO13857	KWMTBOMO13857.mrna1						
Interval_1435	chr10	9866632	9867730	+	0		intron (KWMTBOMO05781, intron 5 of 11)	-intron (KWMTBOMO05781, intron 5 of 11)	11674	KWMTBOMO05781	KWMTBOMO05781	KWMTBOMO05781.mrna1						
Interval_8089	chr14	5754131	5755348	+	0		Intergenic	Intergenic	-2697	KWMTBOMO08331	KWMTBOMO08331	KWMTBOMO08331.mrna1						
Interval_2950	chr11	8597390	8598239	+	0		exon (KWMTBOMO06473, exon 2 of 9)	-exon (KWMTBOMO06473, exon 2 of 9)	236	KWMTBOMO06473	KWMTBOMO06473	KWMTBOMO06473.mrna1						
Interval_27271	chr25	7524240	7525772	+	0		Intergenic	Intergenic	23240	KWMTBOMO15255	KWMTBOMO15255	KWMTBOMO15255.mrna1						
Interval_30388	chr28	977271	977980	+	0		Intergenic	Intergenic	12608	KWMTBOMO16191	KWMTBOMO16191	KWMTBOMO16191.mrna1						
Interval_36902	chr5	15991200	15991672	+	0		Intergenic	Intergenic	-5399	KWMTBOMO03020	KWMTBOMO03020	KWMTBOMO03020.mrna1						
Interval_19797	chr21	53241	54180	+	0		Intergenic	Intergenic	116135	KWMTBOMO12336	KWMTBOMO12336	KWMTBOMO12336.mrna1						
Interval_4439	chr12	3402906	3403542	+	0		Intergenic	Intergenic	72966	KWMTBOMO07086	KWMTBOMO07086	KWMTBOMO07086.mrna1						
Interval_37931	chr6	8105717	8106862	+	0		Intergenic	Intergenic	-1224	KWMTBOMO03449	KWMTBOMO03449	KWMTBOMO03449.mrna1						
Interval_21773	chr22	3690709	3691870	+	0		promoter-TSS (KWMTBOMO12896)	-promoter-TSS (KWMTBOMO12896)	51	KWMTBOMO12896	KWMTBOMO12896	KWMTBOMO12896.mrna1						
Interval_6608	chr13	8115871	8116603	+	0		promoter-TSS (KWMTBOMO07840)	-promoter-TSS (KWMTBOMO07840)	-176	KWMTBOMO07840	KWMTBOMO07840	KWMTBOMO07840.mrna1						
Interval_39902	chr7	11156570	11157526	+	0		intron (KWMTBOMO04102, intron 6 of 9)	-intron (KWMTBOMO04102, intron 6 of 9)	26091	KWMTBOMO04102	KWMTBOMO04102	KWMTBOMO04102.mrna1						
Interval_16080	chr19	1726910	1727601	+	0		Intergenic	Intergenic	7540	KWMTBOMO11242	KWMTBOMO11242	KWMTBOMO11242.mrna1						
Interval_18131	chr2	5818503	5819951	+	0		promoter-TSS (KWMTBOMO00890)	-promoter-TSS (KWMTBOMO00890)	-418	KWMTBOMO00891	KWMTBOMO00891	KWMTBOMO00891.mrna1						
Interval_5785	chr13	143168	143888	+	0		promoter-TSS (KWMTBOMO07570)	-promoter-TSS (KWMTBOMO07570)	-370	KWMTBOMO07570	KWMTBOMO07570	KWMTBOMO07570.mrna1						
Interval_15931	chr19	97054	97703	+	0		intron (KWMTBOMO11178, intron 2 of 4)	-intron (KWMTBOMO11178, intron 2 of 4)	-7843	KWMTBOMO11177	KWMTBOMO11177	KWMTBOMO11177.mrna1						
Interval_1931	chr10	14238740	14239267	+	0		Intergenic	Intergenic	9607	KWMTBOMO05910	KWMTBOMO05910	KWMTBOMO05910.mrna1						
Interval_30624	chr28	3382980	3383496	+	0		intron (KWMTBOMO16270, intron 1 of 44)	-intron (KWMTBOMO16270, intron 1 of 44)	6029	KWMTBOMO16270	KWMTBOMO16270	KWMTBOMO16270.mrna1						
Interval_16589	chr19	6072130	6072726	+	0		intron (KWMTBOMO11453, intron 3 of 6)	-intron (KWMTBOMO11453, intron 3 of 6)	6815	KWMTBOMO11453	KWMTBOMO11453	KWMTBOMO11453.mrna1						
Interval_36326	chr5	10633113	10634074	+	0		exon (KWMTBOMO02776, exon 12 of 22)	-exon (KWMTBOMO02776, exon 12 of 22)	5997	KWMTBOMO02776	KWMTBOMO02776	KWMTBOMO02776.mrna1						
Interval_36137	chr5	8981990	8983673	+	0		promoter-TSS (KWMTBOMO02694)	-promoter-TSS (KWMTBOMO02694)	-444	KWMTBOMO02694	KWMTBOMO02694	KWMTBOMO02694.mrna1						
Interval_21707	chr22	3168609	3169239	+	0		Intergenic	Intergenic	9062	KWMTBOMO12881	KWMTBOMO12881	KWMTBOMO12881.mrna1						
Interval_30020	chr27	9204050	9205091	+	0		promoter-TSS (KWMTBOMO16104)	-promoter-TSS (KWMTBOMO16104)	4	KWMTBOMO16104	KWMTBOMO16104	KWMTBOMO16104.mrna1						
Interval_11252	chr16	1602949	1603609	+	0		Intergenic	Intergenic	-2917	KWMTBOMO09463	KWMTBOMO09463	KWMTBOMO09463.mrna1						
Interval_31144	chr28	10488711	10489242	+	0		promoter-TSS (KWMTBOMO16461)	-promoter-TSS (KWMTBOMO16461)	31	KWMTBOMO16461	KWMTBOMO16461	KWMTBOMO16461.mrna1						
Interval_29070	chr27	1958472	1959248	+	0		intron (KWMTBOMO15913, intron 1 of 15)	-intron (KWMTBOMO15913, intron 1 of 15)	150	KWMTBOMO15913	KWMTBOMO15913	KWMTBOMO15913.mrna1						
Interval_8624	chr14	9486760	9487464	+	0		intron (KWMTBOMO08448, intron 1 of 8)	-intron (KWMTBOMO08448, intron 1 of 8)	-8135	KWMTBOMO08449	KWMTBOMO08449	KWMTBOMO08449.mrna1						
Interval_11268	chr16	1690848	1691257	+	0		intron (KWMTBOMO09466, intron 3 of 7)	-intron (KWMTBOMO09466, intron 3 of 7)	4349	KWMTBOMO09466	KWMTBOMO09466	KWMTBOMO09466.mrna1						
Interval_43884	chr9	15737562	15739105	+	0		promoter-TSS (KWMTBOMO05372)	-promoter-TSS (KWMTBOMO05372)	-679	KWMTBOMO05372	KWMTBOMO05372	KWMTBOMO05372.mrna1						
Interval_9942	chr15	8138646	8139104	+	0		promoter-TSS (KWMTBOMO08916)	-promoter-TSS (KWMTBOMO08916)	81	KWMTBOMO08916	KWMTBOMO08916	KWMTBOMO08916.mrna1						
Interval_7156	chr13	13767753	13768705	+	0		promoter-TSS (KWMTBOMO08055)	-promoter-TSS (KWMTBOMO08055)	-36	KWMTBOMO08055	KWMTBOMO08055	KWMTBOMO08055.mrna1						
Interval_13851	chr17	12443103	12443943	+	0		promoter-TSS (KWMTBOMO10489)	-promoter-TSS (KWMTBOMO10489)	-184	KWMTBOMO10489	KWMTBOMO10489	KWMTBOMO10489.mrna1						
Interval_16414	chr19	4552967	4553662	+	0		promoter-TSS (KWMTBOMO11388)	-promoter-TSS (KWMTBOMO11388)	-103	KWMTBOMO11388	KWMTBOMO11388	KWMTBOMO11388.mrna1						
Interval_41882	chr8	15010798	15011244	+	0		intron (KWMTBOMO04790, intron 1 of 6)	-intron (KWMTBOMO04790, intron 1 of 6)	464	KWMTBOMO04790	KWMTBOMO04790	KWMTBOMO04790.mrna1						
Interval_5410	chr12	13615066	13615697	+	0		Intergenic	Intergenic	-25929	KWMTBOMO07445	KWMTBOMO07445	KWMTBOMO07445.mrna1						
Interval_1310	chr10	8904404	8904906	+	0		promoter-TSS (KWMTBOMO05728)	-promoter-TSS (KWMTBOMO05728)	0	KWMTBOMO05728	KWMTBOMO05728	KWMTBOMO05728.mrna1						
Interval_23157	chr23	260900	261964	+	0		promoter-TSS (KWMTBOMO13499)	-promoter-TSS (KWMTBOMO13499)	81	KWMTBOMO13499	KWMTBOMO13499	KWMTBOMO13499.mrna1						
Interval_24696	chr23	16154467	16155119	+	0		promoter-TSS (KWMTBOMO14024)	-promoter-TSS (KWMTBOMO14024)	-156	KWMTBOMO14024	KWMTBOMO14024	KWMTBOMO14024.mrna1						
Interval_9884	chr15	7592940	7594051	+	0		promoter-TSS (KWMTBOMO08891)	-promoter-TSS (KWMTBOMO08891)	-356	KWMTBOMO08891	KWMTBOMO08891	KWMTBOMO08891.mrna1						
Interval_26130	chr24	13833692	13834281	+	0		Intergenic	Intergenic	9971	KWMTBOMO14731	KWMTBOMO14731	KWMTBOMO14731.mrna1						
Interval_3826	chr11	17992572	17992879	+	0		Intergenic	Intergenic	-35300	KWMTBOMO06867	KWMTBOMO06867	KWMTBOMO06867.mrna1						
Interval_36668	chr5	14063164	14064577	+	0		promoter-TSS (KWMTBOMO02926)	-promoter-TSS (KWMTBOMO02926)	-316	KWMTBOMO02927	KWMTBOMO02927	KWMTBOMO02927.mrna1						
Interval_18864	chr20	3552195	3552943	+	0		TTS (KWMTBOMO11917)	-TTS (KWMTBOMO11917)	4623	KWMTBOMO11917	KWMTBOMO11917	KWMTBOMO11917.mrna1						
Interval_10688	chr15	14712307	14713542	+	0		TTS (KWMTBOMO09265)	-TTS (KWMTBOMO09265)	3500	KWMTBOMO09265	KWMTBOMO09265	KWMTBOMO09265.mrna1						
Interval_39659	chr7	9274316	9275378	+	0		intron (KWMTBOMO04027, intron 13 of 18)	-intron (KWMTBOMO04027, intron 13 of 18)	-18454	KWMTBOMO04028	KWMTBOMO04028	KWMTBOMO04028.mrna1						
Interval_21753	chr22	3555433	3555949	+	0		Intergenic	Intergenic	10019	KWMTBOMO12889	KWMTBOMO12889	KWMTBOMO12889.mrna1						
Interval_21340	chr21	14741421	14742085	+	0		Intergenic	Intergenic	-17859	KWMTBOMO12796	KWMTBOMO12796	KWMTBOMO12796.mrna1						
Interval_9398	chr15	3151478	3152604	+	0		promoter-TSS (KWMTBOMO08706)	-promoter-TSS (KWMTBOMO08706)	-178	KWMTBOMO08706	KWMTBOMO08706	KWMTBOMO08706.mrna1						
Interval_8587	chr14	9295743	9296999	+	0		intron (KWMTBOMO08444, intron 13 of 13)	-intron (KWMTBOMO08444, intron 13 of 13)	9059	KWMTBOMO08443	KWMTBOMO08443	KWMTBOMO08443.mrna1						
Interval_1138	chr10	7641023	7642582	+	0		Intergenic	Intergenic	35940	KWMTBOMO05671	KWMTBOMO05671	KWMTBOMO05671.mrna1						
Interval_17317	chr19	12951374	12952392	+	0		exon (KWMTBOMO11732, exon 1 of 1)	-exon (KWMTBOMO11732, exon 1 of 1)	170	KWMTBOMO11732	KWMTBOMO11732	KWMTBOMO11732.mrna1						
Interval_8579	chr14	9261661	9262699	+	0		intron (KWMTBOMO08441, intron 1 of 8)	-intron (KWMTBOMO08441, intron 1 of 8)	-13462	KWMTBOMO08442	KWMTBOMO08442	KWMTBOMO08442.mrna1						
Interval_39411	chr7	6869794	6871145	+	0		promoter-TSS (KWMTBOMO03946)	-promoter-TSS (KWMTBOMO03946)	-745	KWMTBOMO03946	KWMTBOMO03946	KWMTBOMO03946.mrna1						
Interval_23912	chr23	8239632	8240065	+	0		Intergenic	Intergenic	38123	KWMTBOMO13748	KWMTBOMO13748	KWMTBOMO13748.mrna1						
Interval_17468	chr19	14439353	14440190	+	0		Intergenic	Intergenic	4169	KWMTBOMO11771	KWMTBOMO11771	KWMTBOMO11771.mrna1						
Interval_27400	chr25	9120808	9121778	+	0		Intergenic	Intergenic	6617	KWMTBOMO15324	KWMTBOMO15324	KWMTBOMO15324.mrna1						
Interval_3230	chr11	11009458	11009852	+	0		promoter-TSS (KWMTBOMO06580)	-promoter-TSS (KWMTBOMO06580)	-44	KWMTBOMO06580	KWMTBOMO06580	KWMTBOMO06580.mrna1						
Interval_11445	chr16	3307091	3308489	+	0		promoter-TSS (KWMTBOMO09529)	-promoter-TSS (KWMTBOMO09529)	-300	KWMTBOMO09530	KWMTBOMO09530	KWMTBOMO09530.mrna1						
Interval_10720	chr15	14938306	14939377	+	0		intron (KWMTBOMO09274, intron 7 of 10)	-intron (KWMTBOMO09274, intron 7 of 10)	10653	KWMTBOMO09274	KWMTBOMO09274	KWMTBOMO09274.mrna1						
Interval_7133	chr13	13586539	13587403	+	0		promoter-TSS (KWMTBOMO08042)	-promoter-TSS (KWMTBOMO08042)	-27	KWMTBOMO08042	KWMTBOMO08042	KWMTBOMO08042.mrna1						
Interval_42574	chr9	3929613	3930104	+	0		promoter-TSS (KWMTBOMO04977)	-promoter-TSS (KWMTBOMO04977)	-9	KWMTBOMO04977	KWMTBOMO04977	KWMTBOMO04977.mrna1						
Interval_24121	chr23	10383481	10384126	+	0		Intergenic	Intergenic	11703	KWMTBOMO13826	KWMTBOMO13826	KWMTBOMO13826.mrna1						
Interval_10299	chr15	11033458	11034529	+	0		promoter-TSS (KWMTBOMO09084)	-promoter-TSS (KWMTBOMO09084)	84	KWMTBOMO09084	KWMTBOMO09084	KWMTBOMO09084.mrna1						
Interval_9708	chr15	5988059	5988606	+	0		intron (KWMTBOMO08826, intron 7 of 8)	-intron (KWMTBOMO08826, intron 7 of 8)	5949	KWMTBOMO08827	KWMTBOMO08827	KWMTBOMO08827.mrna1						
Interval_33529	chr4	3707611	3708262	+	0		exon (KWMTBOMO01755, exon 1 of 6)	-exon (KWMTBOMO01755, exon 1 of 6)	162	KWMTBOMO01755	KWMTBOMO01755	KWMTBOMO01755.mrna1						
Interval_6472	chr13	6667420	6668226	+	0		promoter-TSS (KWMTBOMO07779)	-promoter-TSS (KWMTBOMO07779)	-261	KWMTBOMO07779	KWMTBOMO07779	KWMTBOMO07779.mrna1						
Interval_12169	chr16	10148382	10149696	+	0		Intergenic	Intergenic	-4287	KWMTBOMO09841	KWMTBOMO09841	KWMTBOMO09841.mrna1						
Interval_2427	chr11	1158083	1159601	+	0		Intergenic	Intergenic	24001	KWMTBOMO06142	KWMTBOMO06142	KWMTBOMO06142.mrna1						
Interval_12144	chr16	9874907	9875729	+	0		Intergenic	Intergenic	-3220	KWMTBOMO09824	KWMTBOMO09824	KWMTBOMO09824.mrna1						
Interval_25109	chr23	20866019	20866557	+	0		intron (KWMTBOMO14223, intron 1 of 11)	-intron (KWMTBOMO14223, intron 1 of 11)	18456	KWMTBOMO14223	KWMTBOMO14223	KWMTBOMO14223.mrna1						
Interval_43577	chr9	12570761	12571899	+	0		promoter-TSS (KWMTBOMO05272)	-promoter-TSS (KWMTBOMO05272)	-427	KWMTBOMO05272	KWMTBOMO05272	KWMTBOMO05272.mrna1						
Interval_31275	chr3	728476	729218	+	0		Intergenic	Intergenic	4751	KWMTBOMO01040	KWMTBOMO01040	KWMTBOMO01040.mrna1						
Interval_31715	chr3	4028008	4028594	+	0		Intergenic	Intergenic	5561	KWMTBOMO01184	KWMTBOMO01184	KWMTBOMO01184.mrna1						
Interval_14085	chr17	14818364	14818913	+	0		intron (KWMTBOMO10588, intron 8 of 10)	-intron (KWMTBOMO10588, intron 8 of 10)	6101	KWMTBOMO10587	KWMTBOMO10587	KWMTBOMO10587.mrna1						
Interval_23825	chr23	7390434	7391384	+	0		intron (KWMTBOMO13710, intron 1 of 2)	-intron (KWMTBOMO13709, intron 1 of 2)	7825	KWMTBOMO13709	KWMTBOMO13709	KWMTBOMO13709.mrna1						
Interval_19790	chr20	12313236	12313625	+	0		promoter-TSS (KWMTBOMO12332)	-promoter-TSS (KWMTBOMO12332)	40	KWMTBOMO12332	KWMTBOMO12332	KWMTBOMO12332.mrna1						
Interval_26970	chr25	4822318	4823349	+	0		promoter-TSS (KWMTBOMO15098)	-promoter-TSS (KWMTBOMO15098)	-157	KWMTBOMO15098	KWMTBOMO15098	KWMTBOMO15098.mrna1						
Interval_28694	chr26	9787858	9788498	+	0		promoter-TSS (KWMTBOMO15779)	-promoter-TSS (KWMTBOMO15779)	-269	KWMTBOMO15779	KWMTBOMO15779	KWMTBOMO15779.mrna1						
Interval_21264	chr21	14022286	14023447	+	0		promoter-TSS (KWMTBOMO12764)	-promoter-TSS (KWMTBOMO12764)	122	KWMTBOMO12765	KWMTBOMO12765	KWMTBOMO12765.mrna1						
Interval_13608	chr17	10403118	10404011	+	0		promoter-TSS (KWMTBOMO10406)	-promoter-TSS (KWMTBOMO10406)	-291	KWMTBOMO10406	KWMTBOMO10406	KWMTBOMO10406.mrna1						
Interval_33271	chr4	2077084	2077932	+	0		promoter-TSS (KWMTBOMO01705)	-promoter-TSS (KWMTBOMO01705)	53	KWMTBOMO01705	KWMTBOMO01705	KWMTBOMO01705.mrna1						
Interval_31086	chr28	10115060	10115748	+	0		Intergenic	Intergenic	14749	KWMTBOMO16443	KWMTBOMO16443	KWMTBOMO16443.mrna1						
Interval_6813	chr13	10134463	10135501	+	0		Intergenic	Intergenic	16184	KWMTBOMO07921	KWMTBOMO07921	KWMTBOMO07921.mrna1						
Interval_17535	chr2	224172	225018	+	0		promoter-TSS (KWMTBOMO00676)	-promoter-TSS (KWMTBOMO00676)	-371	KWMTBOMO00676	KWMTBOMO00676	KWMTBOMO00676.mrna1						
Interval_14146	chr17	15591562	15592866	+	0		Intergenic	Intergenic	-8217	KWMTBOMO10606	KWMTBOMO10606	KWMTBOMO10606.mrna1						
Interval_12233	chr16	11008293	11009707	+	0		promoter-TSS (KWMTBOMO09871)	-promoter-TSS (KWMTBOMO09871)	-552	KWMTBOMO09871	KWMTBOMO09871	KWMTBOMO09871.mrna1						
Interval_13129	chr17	5768133	5768857	+	0		intron (KWMTBOMO10246, intron 1 of 6)	-intron (KWMTBOMO10246, intron 1 of 6)	1095	KWMTBOMO10246	KWMTBOMO10246	KWMTBOMO10246.mrna1						
Interval_5471	chr12	14180621	14181562	+	0		promoter-TSS (KWMTBOMO07484)	-promoter-TSS (KWMTBOMO07484)	-222	KWMTBOMO07484	KWMTBOMO07484	KWMTBOMO07484.mrna1						
Interval_41702	chr8	13459846	13460317	+	0		Intergenic	Intergenic	-13740	KWMTBOMO04727	KWMTBOMO04727	KWMTBOMO04727.mrna1						
Interval_30364	chr28	774716	775179	+	0		promoter-TSS (KWMTBOMO16187)	-promoter-TSS (KWMTBOMO16187)	-780	KWMTBOMO16187	KWMTBOMO16187	KWMTBOMO16187.mrna1						
Interval_15534	chr18	12172869	12173348	+	0		promoter-TSS (KWMTBOMO11072)	-promoter-TSS (KWMTBOMO11072)	-59	KWMTBOMO11072	KWMTBOMO11072	KWMTBOMO11072.mrna1						
Interval_21213	chr21	13589207	13589888	+	0		promoter-TSS (KWMTBOMO12741)	-promoter-TSS (KWMTBOMO12741)	7	KWMTBOMO12741	KWMTBOMO12741	KWMTBOMO12741.mrna1						
Interval_32492	chr3	10703071	10704030	+	0		promoter-TSS (KWMTBOMO01434)	-promoter-TSS (KWMTBOMO01434)	-141	KWMTBOMO01434	KWMTBOMO01434	KWMTBOMO01434.mrna1						
Interval_28123	chr26	3431675	3432672	+	0		Intergenic	Intergenic	-2572	KWMTBOMO15587	KWMTBOMO15587	KWMTBOMO15587.mrna1						
Interval_24131	chr23	10493821	10494844	+	0		promoter-TSS (KWMTBOMO13832)	-promoter-TSS (KWMTBOMO13832)	-17	KWMTBOMO13832	KWMTBOMO13832	KWMTBOMO13832.mrna1						
Interval_18686	chr20	2198003	2198861	+	0		intron (KWMTBOMO11858, intron 2 of 5)	-intron (KWMTBOMO11858, intron 2 of 5)	359	KWMTBOMO11858	KWMTBOMO11858	KWMTBOMO11858.mrna1						
Interval_30051	chr27	9473386	9474482	+	0		Intergenic	Intergenic	-7822	KWMTBOMO16113	KWMTBOMO16113	KWMTBOMO16113.mrna1						
Interval_17271	chr19	12559563	12561239	+	0		promoter-TSS (KWMTBOMO11716)	-promoter-TSS (KWMTBOMO11716)	-98	KWMTBOMO11716	KWMTBOMO11716	KWMTBOMO11716.mrna1						
Interval_6035	chr13	2759817	2760459	+	0		Intergenic	Intergenic	83106	KWMTBOMO07643	KWMTBOMO07643	KWMTBOMO07643.mrna1						
Interval_31949	chr3	6119448	6120339	+	0		Intergenic	Intergenic	10691	KWMTBOMO01244	KWMTBOMO01244	KWMTBOMO01244.mrna1						
Interval_8592	chr14	9333279	9333860	+	0		Intergenic	Intergenic	-1308	KWMTBOMO08445	KWMTBOMO08445	KWMTBOMO08445.mrna1						
Interval_1388	chr10	9535200	9535574	+	0		promoter-TSS (KWMTBOMO05763)	-promoter-TSS (KWMTBOMO05763)	-10	KWMTBOMO05763	KWMTBOMO05763	KWMTBOMO05763.mrna1						
Interval_20858	chr21	10139308	10140280	+	0		TTS (KWMTBOMO12644)	-TTS (KWMTBOMO12644)	-9424	KWMTBOMO12645	KWMTBOMO12645	KWMTBOMO12645.mrna1						
Interval_25967	chr24	11437267	11437848	+	0		promoter-TSS (KWMTBOMO14625)	-promoter-TSS (KWMTBOMO14625)	-107	KWMTBOMO14625	KWMTBOMO14625	KWMTBOMO14625.mrna1						
Interval_19362	chr20	8011413	8011977	+	0		intron (KWMTBOMO12123, intron 9 of 10)	-intron (KWMTBOMO12123, intron 9 of 10)	10271	KWMTBOMO12123	KWMTBOMO12123	KWMTBOMO12123.mrna1						
Interval_42378	chr9	2047032	2048273	+	0		promoter-TSS (KWMTBOMO04937)	-promoter-TSS (KWMTBOMO04937)	-68	KWMTBOMO04937	KWMTBOMO04937	KWMTBOMO04937.mrna1						
Interval_4024	chr11	19748156	19749510	+	0		promoter-TSS (KWMTBOMO06920)	-promoter-TSS (KWMTBOMO06920)	-186	KWMTBOMO06920	KWMTBOMO06920	KWMTBOMO06920.mrna1						
Interval_4859	chr12	7671428	7672218	+	0		promoter-TSS (KWMTBOMO07195)	-promoter-TSS (KWMTBOMO07195)	-244	KWMTBOMO07195	KWMTBOMO07195	KWMTBOMO07195.mrna1						
Interval_3971	chr11	18971455	18971810	+	0		Intergenic	Intergenic	-19784	KWMTBOMO06898	KWMTBOMO06898	KWMTBOMO06898.mrna1						
Interval_18098	chr2	5577308	5578907	+	0		promoter-TSS (KWMTBOMO00884)	-promoter-TSS (KWMTBOMO00884)	233	KWMTBOMO00883	KWMTBOMO00883	KWMTBOMO00883.mrna1						
Interval_12156	chr16	9928486	9929769	+	0		exon (KWMTBOMO09828, exon 1 of 9)	-exon (KWMTBOMO09828, exon 1 of 9)	114	KWMTBOMO09828	KWMTBOMO09828	KWMTBOMO09828.mrna1						
Interval_26470	chr24	17257374	17258588	+	0		intron (KWMTBOMO14898, intron 2 of 7)	-intron (KWMTBOMO14898, intron 2 of 7)	8549	KWMTBOMO14898	KWMTBOMO14898	KWMTBOMO14898.mrna1						
Interval_32033	chr3	6629192	6630175	+	0		Intergenic	Intergenic	-84743	KWMTBOMO01253	KWMTBOMO01253	KWMTBOMO01253.mrna1						
Interval_25590	chr24	5665164	5666388	+	0		promoter-TSS (KWMTBOMO14417)	-promoter-TSS (KWMTBOMO14417)	-238	KWMTBOMO14418	KWMTBOMO14418	KWMTBOMO14418.mrna1						
Interval_23198	chr23	454547	455709	+	0		TTS (KWMTBOMO13512)	-TTS (KWMTBOMO13512)	-10621	KWMTBOMO13511	KWMTBOMO13511	KWMTBOMO13511.mrna1						
Interval_9394	chr15	3123371	3124756	+	0		intron (KWMTBOMO08706, intron 1 of 2)	-intron (KWMTBOMO08706, intron 1 of 2)	27800	KWMTBOMO08706	KWMTBOMO08706	KWMTBOMO08706.mrna1						
Interval_3740	chr11	16604426	16605245	+	0		exon (KWMTBOMO06836, exon 1 of 1)	-exon (KWMTBOMO06836, exon 1 of 1)	225	KWMTBOMO06836	KWMTBOMO06836	KWMTBOMO06836.mrna1						
Interval_35273	chr5	1891585	1892519	+	0		promoter-TSS (KWMTBOMO02438)	-promoter-TSS (KWMTBOMO02438)	-186	KWMTBOMO02439	KWMTBOMO02439	KWMTBOMO02439.mrna1						
Interval_8663	chr14	9788175	9789103	+	0		promoter-TSS (KWMTBOMO08467)	-promoter-TSS (KWMTBOMO08467)	87	KWMTBOMO08467	KWMTBOMO08467	KWMTBOMO08467.mrna1						
Interval_575	chr10	2453896	2454544	+	0		promoter-TSS (KWMTBOMO05445)	-promoter-TSS (KWMTBOMO05445)	52	KWMTBOMO05445	KWMTBOMO05445	KWMTBOMO05445.mrna1						
Interval_14774	chr18	5944737	5945848	+	0		Intergenic	Intergenic	-7236	KWMTBOMO10878	KWMTBOMO10878	KWMTBOMO10878.mrna1						
Interval_866	chr10	5296163	5297219	+	0		promoter-TSS (KWMTBOMO05577)	-promoter-TSS (KWMTBOMO05577)	-11	KWMTBOMO05577	KWMTBOMO05577	KWMTBOMO05577.mrna1						
Interval_10318	chr15	11179433	11180197	+	0		Intergenic	Intergenic	-7064	KWMTBOMO09094	KWMTBOMO09094	KWMTBOMO09094.mrna1						
Interval_29561	chr27	5801221	5801885	+	0		promoter-TSS (KWMTBOMO16004)	-promoter-TSS (KWMTBOMO16004)	-294	KWMTBOMO16004	KWMTBOMO16004	KWMTBOMO16004.mrna1						
